"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count","domain","campaign","link_source"
"1","138691142964027","Dr. Ben & Candy Carson",NA,2016-01-01 05:01:58,"photo","https://www.facebook.com/realbencarson/photos/a.143829065783568.1073741825.138691142964027/574036696096134/?type=3","138691142964027_574036696096134","Dr. Ben & Candy Carson added a new photo.",69462,2057,2475,"facebook.com",NA,NA
"2","138691142964027","Dr. Ben & Candy Carson","#TBT to time spent in prayer before a speech earlier this year. Seeking God's wisdom in my life has been an essential part of this campaign since day one.",2016-01-01 00:30:00,"photo","https://www.facebook.com/realbencarson/photos/a.143829065783568.1073741825.138691142964027/574421699390967/?type=3","138691142964027_574421699390967",NA,175059,3921,9173,"facebook.com",NA,NA
"3","138691142964027","Dr. Ben & Candy Carson","Hello everyone, I hope your New Year’s celebration tonight is filled with a lot of love and laughter with friends and family. Time with loved ones is precious, especially as we embark on a journey together into a new year filled with promise and prosperity. I thank God for His guidance throughout this past year, and I pray that He will continue to lead me in the year to come.",2016-01-01 02:41:56,"status",NA,"138691142964027_574608372705633",NA,49483,1590,1740,NA,NA,NA
"4","138691142964027","Dr. Ben & Candy Carson","Our country faces grave national security threats. We must act boldly and decisively to protect American citizens from terrorists at home and abroad. ISIS continues to persecute Christians, enslave young girls, oppress civil societies and perpetrate terrorist attacks against the free world. We must destroy their caliphate and prevent their terrorists from infiltrating our homeland. We must also secure our borders, identify radical Islamic extremism by name and root out its agents and collaborators in our own country. My ""Seven Steps for a Safer America"" offers a path forward for confronting these threats and protecting this great country.

1. Congress should immediately issue a formal declaration of war on the Islamic State, which is also known as ISIL or ISIS.

2. The United States should lead the immediate formation of – and provide substantial advisory, financial and military support to – a military coalition in the Middle East to wage war against ISIS. Such a regional coalition would consist of countries such as Egypt, Saudi Arabia and Jordan.

3. The United States should urge its allies and partners in the Middle East to engage in massive recruitment and training of Sunni Syrian men based in Saudi Arabia and the Gulf and of Sunni Syrian male refugees in Jordan – to establish a military force to destroy ISIS and to establish a protection zone for the victims of the terrorist state.

4. The United States should deploy its military resources and work with moderate Arab nations – as well as extend strategic support to Kurdish, Christian and Sunni tribes in the free al-Hasakah Province in northeast Syria – to establish a refugee safe zone in the Province. All refugees should be directed to that free area and to other liberated areas later, and be put under international protection.

5. Congress should immediately establish a war-time emergency visa and immigration policy; establish an emergency inter-agency task force to review all visa and immigration policies; and limit visitor visas to three months with mandatory check-ins for extensions no longer than three months.

6. President Barack Obama and Congress should immediately deploy the National Guard and military troops to patrol the U.S. southern border as well as designated spots along the northern border.

7. The Department of State should designate the Muslim Brotherhood and other organizations that propagate or support Islamic terrorism as terrorist organizations, and fully investigate the Council on American-Islamic Relations (CAIR) as an offshoot of the Muslim Brotherhood and a supporter of terrorism.",2016-01-02 19:47:00,"status",NA,"138691142964027_575294235970380",NA,23894,644,3858,NA,NA,NA
"5","138691142964027","Dr. Ben & Candy Carson","As I have announced over the past few days, we are entering a very exciting phase in my campaign.  You can expect to see even more policy and strategy over the coming weeks as we march towards the first votes being cast in Iowa.
I am very pleased to announce the appointment of Major General Bob Dees, U.S. Army, Retired as my new campaign chairman.  Under his leadership, we will continue our mission to return this great nation to We the People.
- Ben
http://cnn.it/1R4D4w9",2016-01-02 17:15:00,"video","http://cnn.it/1R4D4w9","138691142964027_575295539303583",NA,17688,683,1653,"cnn.it",NA,NA
"6","138691142964027","Dr. Ben & Candy Carson",NA,2016-01-02 21:45:00,"photo","https://www.facebook.com/realbencarson/photos/a.143829065783568.1073741825.138691142964027/575305112635959/?type=3","138691142964027_575305112635959","Dr. Ben & Candy Carson added a new photo.",22089,615,3905,"facebook.com",NA,NA
"7","138691142964027","Dr. Ben & Candy Carson","Great picture of volunteers braving the snow in Iowa today. Thank you for the support and for taking time out of your day to talk to voters about my plan to #HealInspireRevive our nation.",2016-01-02 23:45:00,"photo","https://www.facebook.com/realbencarson/photos/a.143829065783568.1073741825.138691142964027/575314009301736/?type=3","138691142964027_575314009301736",NA,21536,322,639,"facebook.com",NA,NA
"8","138691142964027","Dr. Ben & Candy Carson","Strength is not determined by the decibels at which you say something but rather by the accomplishments in your life. If it’s about how loud you talk, all you need to do is go to Washington, D.C., you can find a lot of people who talk very loud about all kinds of things and have done nothing.",2016-01-03 01:22:00,"status",NA,"138691142964027_575323825967421",NA,34462,872,4726,NA,NA,NA
"9","138691142964027","Dr. Ben & Candy Carson","If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land. 2 Chronicles 7:14 

Join my Faith Based Coalition by visiting bencarson.com/faith",2016-01-03 13:30:00,"link","http://bencarson.com/faith","138691142964027_575327365967067",NA,6673,235,1074,"bencarson.com",NA,NA
"10","138691142964027","Dr. Ben & Candy Carson","Political correctness will destroy us if we don’t wake up. Let's not get so concerned about how offended our enemies are and let’s pay a whole lot more attention to who we are and how do we protect our people here in the United States.",2016-01-03 15:42:45,"status",NA,"138691142964027_575693085930495",NA,94717,1465,13184,NA,NA,NA
